Department,Department Code,Program Code,DRF Program,Description EN,Description FR
Natural Resources Canada,134,BTM04,Green Mining Innovation,"This strategic research and development program is delivered by NRCan?s CanmetMINING laboratories. The program has two key objectives: to reduce the environmental impacts of mining; and to improve Canada?s competitiveness. Strong environmental performance is closely linked to the long-term economic growth of the mining industry and is essential for maintaining public trust in Canada?s development of its mineral resources. In undertaking this work, NRCan is focussed on four priority areas: energy efficiency, enhanced productivity, waste management and water management. Several specialized services such as the production of certified reference materials and diesel engine certification are also delivered by the program.","Ce programme strat‚gique de recherche et d‚veloppement est offert par les laboratoires CanmetMINES de RNCan. Le programme a deux objectifs principaux : r‚duire les impacts environnementaux de l?exploitation miniŠre; am‚liorer la comp‚titivit‚ du Canada. Un bon rendement environnemental est ‚troitement li‚ … la croissance ‚conomique … long terme de l?industrie miniŠre et est essentiel pour garder la confiance du public dans la mise en valeur des ressources min‚rales du Canada. En entreprenant ce travail, RNCan se concentre sur quatre domaines prioritaires : efficacit‚ ‚nerg‚tique, productivit‚ accrue, gestion des d‚chets et gestion de l?eau. Le programme offre plusieurs services sp‚cialis‚s, tels que la production de mat‚riaux de r‚f‚rence certifi‚s et la certification des moteurs diesels."
Natural Resources Canada,134,BTM12,Innovative Geospatial Solutions,"NRCan delivers geospatial data innovation and experimentation through research and development into new technologies, interoperability, technology transfer, methods, standardization and product (new forms of evidence) delivery of ways to observe the Earth. The program and its stakeholders create new science, data and tools to collect, supply, use and share information to support critical and emerging GoC priorities. Geospatial innovation supports downstream research and critical operations, leading to better decision making for the environment, society and the economy. To deliver its innovative geospatial solutions, the program works closely with stakeholders internal to government, provinces, territories and communities, economic segments in natural resources, geomatics and Earth Observation, citizens, non-profit institutions and organizations including academia, and foreign entities.","RNCan offre et permet l'innovation et l'exp‚rimentation de donn‚es g‚ospatiales grƒce … la recherche et au d‚veloppement de nouvelles technologies, … l'interop‚rabilit‚, au transfert de technologie, aux m‚thodes, … la normalisation et … la fourniture de produits (nouvelles formes de preuves) d'observation de la Terre. Le programme et ses parties prenantes cr‚ent de nouvelles donn‚es scientifiques, donn‚es et outils pour collecter, fournir, utiliser et partager des informations afin de soutenir les priorit‚s critiques et ‚mergentes du GC. L'innovation g‚ospatiale soutient la recherche d?aval et les op‚rations critiques, menant … une meilleure prise de d‚cision pour l'environnement, la soci‚t‚ et l'‚conomie. Pour fournir ses solutions g‚ospatiales novatrices, le programme travaille en ‚troite collaboration avec les intervenants des gouvernements, des provinces, des territoires et des collectivit‚s, des segments ‚conomiques des ressources naturelles, de la g‚omatique et de l'observation de la Terre, des citoyens, des institutions et organisations … but non lucratif, y compris des universit‚s et des entit‚s ‚trangŠres."
Natural Resources Canada,134,BTM09,Electricity Resources,"The Electricity Resources Branch leads on supporting clean electricity infrastructure projects, the deployment of smart grid infrastructure, and the deployment of emerging non-greenhouse gas emitting technologies. It develops federal policy and programs in the areas of renewable, electrical and nuclear energy, uranium and radioactive waste. It provides advice and recommendations on domestic and international issues regarding electricity, the nuclear supply chain and the nuclear fuel cycle. It supports the Minister in his legislative responsibilities re: the Nuclear Energy Act, Nuclear Fuel Waste Act, Nuclear Safety and Control Act, Nuclear Liability and Compensation Act, etc. It supports the Minister regarding his responsibilities for the Canadian Nuclear Safety Commission and Atomic Energy of Canada Limited.","La Direction des ressources en ‚lectricit‚ est un leader dans le soutien aux projets d?infrastructure ‚lectrique propre, de d‚ploiement d?infrastructures de r‚seaux intelligents et de d‚ploiement de nouvelles technologies n?‚mettant pas d?‚missions de gaz … effet de serre. Elle ‚labore des politiques et des programmes f‚d‚raux dans les domaines de l?‚nergie renouvelable, ‚lectrique et nucl‚aire, de l?uranium et des d‚chets radioactifs. Elle fournit des conseils et des recommandations sur les questions nationales et internationales concernant l?‚lectricit‚, la chaŒne d?approvisionnement nucl‚aire et le cycle de combustible nucl‚aire. Elle appuie le ministre dans ses responsabilit‚s l‚gislatives : la Loi sur l?‚nergie nucl‚aire, la Loi sur les d‚chets de combustible nucl‚aire, la Loi sur la s–ret‚ et la r‚glementation nucl‚aires, la Loi sur la responsabilit‚ et l?indemnisation en matiŠre nucl‚aire, etc. Elle soutient le ministre dans ses responsabilit‚s … l?‚gard de la Commission canadienne de s–ret‚ nucl‚aire et d?nergie atomique du Canada limit‚e."
Natural Resources Canada,134,BTM02,Clean Growth in Natural Resource Sectors,"This program advances clean technologies in Canada?s natural resources sector by funding RD&D projects. Projects taken in collaboration with ODGs, academia and other organizations will realize reductions in negative impacts of GHG emissions. By focusing on Impact Canada (Clean Technology Stream, Smart Cities Stream), Clean Growth in Natural Resources Sectors, Oil Spill Response and Low-Carbon Government projects, this program advances clean technologies across all Canadian natural resources sectors while realizing economic and environmental benefits. This program also supports projects leading to tangible improvements in competitiveness and sustainability of resource development and use in Canada by utilizing a series of prize-based challenges for breakthrough technologies to persistent complex problems. This program also contributes towards the government wide Mission Innovation commitment.","Ce programme favorise l?avancement des technologies propres dans le secteur des ressources naturelles au Canada en finan‡ant des projets de la recherche, et le d‚veloppement et la d‚monstration (R-D-D). Ces projets r‚alis‚s en collaboration avec d?autres ministŠres, des universit‚s et d?autres organisations permettront de r‚duire l?incidence n‚gative des ‚missions de gaz … effet de serre (GES). Par l?entremise des projets d?Impact Canada (Technologies propres, D‚fi des villes intelligentes), du Programme sur la croissance propre dans les secteurs des ressources naturelles, du Programme d?intervention en cas de d‚versement d?hydrocarbures et du Gouvernement … faibles ‚missions de carbone, ce programme fait progresser les projets de technologies propres dans tous les secteurs canadiens des ressources naturelles, tout en procurant des avantages ‚conomiques et environnementaux. Ce programme soutient ‚galement des projets qui conduisent … des am‚liorations tangibles de la comp‚titivit‚ et de la durabilit‚ de l?exploitation et de l?utilisation des ressources au Canada en proposant une s‚rie de concours ax‚s sur des prix pour reconnaŒtre les avanc‚es technologiques qui contribuent … la r‚solution de problŠmes complexes. Le programme contribue en outre … la r‚alisation de l?engagement pangouvernemental Mission Innovation."
Natural Resources Canada,134,BTO08,Science and Technology Internship Program,"Since 1997, NRCan has contributed to the Youth Employment Strategy through the Science and Technology Internship Program (STIP), which supports the integration of post-secondary graduates between the ages of 15-30 into Science, Technology, Engineering and Math (STEM) fields in the natural resources sectors. Using a third party delivery model, NRCan provides funding for internships through contribution agreements. The recipient organizations take responsibility for delivering the internship funding to hiring organizations that host the interns. This program supports the Minister's commitment to assist in the development and promotion of Canadian scientific and technological capabilities, and to address labour shortages in STEM fields. The program also promotes diversity in the natural resources labour market by targeting 50% participation by individuals in the designated employment equity groups.","RNCan contribue … la Strat‚gie emplois jeunesse depuis 1997 par l'interm‚diaire de son Programme de stages en sciences et technologie (PSST), lequel soutient l'int‚gration de dipl“m‚s postsecondaires ƒg‚s de 15 … 30 dans les domaines de la science, de la technologie, de l'ing‚nierie et des math‚matiques (STIM) dans les secteurs des ressources naturelles. Selon un modŠle de prestation de tierce partie, RNCan offre des subventions salariales pour des stages par l'interm‚diaire d'ententes de contribution. Les organismes b‚n‚ficiaires ont la responsabilit‚ d'offrir les stages et collaborent avec les organisations d'embauche qui proposent les stages. Ce programme appuie l'engagement du ministre de participer aux efforts de d‚veloppement et de promotion des capacit‚s scientifiques et technologiques du Canada et de lutter contre les p‚nuries de main-d'?uvre dans les domaines de STIM. Le programme favorise la diversit‚ dans le march‚ du travail des ressources naturelles en ciblant 50% de participation des individus des groupes vis‚s par l'‚quit‚ en matiŠre d'emploi."
Natural Resources Canada,134,BTM08,Lower Carbon Transportation,"In line with Canada?s objectives to address climate change, the Lower Carbon Transportation program?s objective is to increase energy efficiency in the transportation sector and to transition transportation to lower carbon options. The program provides accurate, relevant and factual information on fuel efficiency and lower carbon modes of on-road transportation to raise awareness on fuel efficiency and inform purchasing decisions on lower carbon transportation products and services. Effective fleet management practices to reduce greenhouse gases are also shared with industry, P/T and other Federal Departments. Partnerships with external organizations to share information, best practices and benchmark, also incite behavioural change for those operating vehicles and those providing or using commercial freight and passenger services. Development of codes and standards, and alignment of codes and standards across North America supports those who supply vehicles, fuels, and develop infrastructure by enabling the compatibility between components of lower carbon vehicles and refueling infrastructure. Direct financial support to the private sector strengthens their investment in the installation of lower carbon fuels recharging and refueling infrastructure. This is built upon strong collaboration with provinces and territories.","Conform‚ment aux objectifs du Canada visant … lutter contre les changements climatiques, l?objectif du programme de transport … teneur r‚duite en carbone est d?accroŒtre l?efficacit‚ ‚nerg‚tique dans le secteur des transports et de r‚aliser une transition vers des options … teneur r‚duite en carbone. Le programme fournit des informations pr‚cises, pertinentes et factuelles sur l?efficacit‚ ‚nerg‚tique et les modes de transport routier … teneur r‚duite en carbone afin de sensibiliser … l?efficacit‚ ‚nerg‚tique et de faciliter la prise de d‚cisions d?achat sur les produits et services de transport … teneur r‚duite de carbone. De plus, le programme partage des pratiques efficaces de gestion de la flotte avec l?industrie, les provinces et les territoires et d?autres ministŠres f‚d‚raux adoptent aussi des pratiques efficaces de gestion de la flotte afin de r‚duire les gaz … effet de serre. Les partenariats avec des organisations externes, pour partager l?information, les meilleures pratiques et des points de r‚f‚rence, incitent aussi … des changements de comportement chez ceux qui opŠrent des v‚hicules et ceux qui fournissent ou utilisent des services commerciaux de fret et de passagers. L?‚laboration de codes et de normes et l?harmonisation des codes et des normes en Am‚rique du Nord soutiennent ceux qui fournissent des v‚hicules, des carburants et d‚veloppent des infrastructures en permettant la compatibilit‚ entre les composants des v‚hicules … teneur r‚duite en carbone et l?infrastructure de ravitaillement. Le soutien financier direct au secteur priv‚ encourage ce dernier … investir dans l?installation d?infrastructures de recharge et de ravitaillement en carburants … teneur r‚duite en carbone. Cela repose sur une forte collaboration avec les provinces et les territoires."
Natural Resources Canada,134,BTM03,Energy Innovation Program,"This program supports energy technology innovation through research, development and demonstration (RD&D) of clean and efficient energy production and use. Clean energy RD&D is undertaken through the CanmetENERGY research facilities through partnerships with stakeholders and with project proponents. By focusing on Green Infrastructure (Smart Grids, Remote Communities, Electric Vehicle Charging Infrastructure, Energy Efficient Buildings), research into unconventional energy efficiency (buildings, industry, and communities), this program drives the update of near-commercial clean energy technology and promotes the adoption of Canadian scientific and technical capabilities to deliver tangible, lasting infrastructure assets that provide economic and environmental benefits. This program also contributes towards the government wide Mission Innovation commitment.","Ce programme appuie l?innovation en matiŠre de technologie ‚nerg‚tique grƒce … la recherche, au d‚veloppement et … la d‚monstration (R-D-D) portant sur la production et l?utilisation d?une ‚nergie propre et efficace. La R-D-D sur l?‚nergie propre est entreprise grƒce aux installations de recherche de CanmetNERGIE, aux partenariats avec des parties prenantes et aux promoteurs de projets. En mettant l?accent sur les programmes d?infrastructure verte (r‚seaux intelligents, collectivit‚s ‚loign‚es, infrastructure pour la recharge des v‚hicules ‚lectriques, bƒtiments ‚co‚nerg‚tiques) et la recherche sur les projets d?efficacit‚ ‚nerg‚tique non conventionnelle (bƒtiments, industrie et collectivit‚s), ce programme favorise l?actualisation de technologies ‚nerg‚tiques propres presqu?au point pour le march‚ et fait la promotion de l?adoption des capacit‚s scientifiques et techniques canadiennes en vue de produire des ‚l‚ments d?infrastructure concrets et durables qui procure des avantages ‚conomiques et environnementaux. Le programme contribue en outre … la r‚alisation de l?engagement pangouvernemental Mission Innovation."
Natural Resources Canada,134,BTO01,Forest Sector Competitiveness,"This program responds to cyclical and structural downturns and trade irritants that threaten the forest industry. The Program seeks to diversify markets, products, and processes. These outcomes are essential to the long-term survival and growth of Canada's forest products industry. This Program addresses forest industry challenges/needs through initiatives that advance Canada's bioeconomy and create/maintain market opportunities. Program success is also supported by work that advances favourable international forest policies and increased Indigenous participation in natural resource development. Initiatives include the delivery of transfer payment programs, the development of strategies, advocacy/advice, and international policy work that together advance Canada's priorities on trade, jobs, the economy, climate change and other environmental issues. Target groups include: the forest industry; buyers of Canadian wood products; construction practitioners, e.g., building engineers, architects and builders; federal government departments, e.g. Global Affairs Canada; foreign governments; provinces/territories; and Indigenous groups.","Ce Programme r‚pond aux ralentissements conjoncturels et structurels et aux irritants commerciaux qui menacent l'industrie forestiŠre. Le programme cherche … diversifier les march‚s, les produits et les processus. Ces r‚sultats sont indispensables pour la survie … long terme ainsi que pour la croissance de l'industrie canadienne des produits forestiers. Ce programme aborde les d‚fis et les besoins de l'industrie forestiŠre grƒce aux initiatives qui font progresser la bio‚conomie canadienne et qui cr‚ent et maintiennent des d‚bouch‚s commerciaux. Le succŠs du programme est aussi appuy‚ par des travaux qui favorisent des politiques forestiŠres internationales favorables et une participation accrue des Autochtones au mise en valeur des ressources naturelles. Des initiatives incluent la prestation des programmes de paiements de transfert, l'‚laboration des strat‚gies, le plaidoyer / les conseils et du travail politique au niveau international, qui, ensemble, font avancer les priorit‚s du Canada sur le plan du commerce, de l'emploi, de l'‚conomie, du changement climatique, et d'autres enjeux environnementaux. Les groupes cibl‚s incluent l'industrie forestiŠre, les acheteurs de produits du bois canadien et les praticiens de la construction (p. ex., ing‚nieurs en bƒtiments, architectes et bƒtisseurs, des ministŠres du gouvernement f‚d‚ral, des provinces et des territoires, et des groupes autochtones)."
Natural Sciences and Engineering Research Council,230,BNR03,Research Partnerships,"This Program fosters partnerships in natural sciences and engineering that facilitates the transfer of knowledge and skills to the user sector through awards that support research projects and network activities intended for socioeconomic impact. The partnerships encouraged and enabled by these awards also increase the commercialization of Canada's research through new products, services, and processes for the benefit of all Canadians.","Ce programme appuie les partenariats de recherche entre les chercheurs du milieu postsecondaire et les entreprises en vue de faire progresser la commercialisation de nouveaux produits. Le programme stimule les investissements des entreprises dans la recherche afin de cr‚er de la valeur et d?appuyer le processus d?innovation, de l?id‚e … la commercialisation. Ces partenariats permettent aussi aux entreprises d?avoir accŠs … la base de connaissances issues des travaux de recherche appuy‚s par l?interm‚diaire du Programme de recherche ax‚ sur la d‚couverte."
Western Economic Diversification Canada,140,BNW02,Business Growth,"The Business Growth Program has two domains which support western Canadian businesses, industry and research organizations to enhance their productivity, participation in global markets, and competitiveness. The Trade, Investment and Market Access domain increases Western Canada's participation in global markets, increasing awareness of Western Canada's technology capabilities abroad and attracting foreign investment to the region. The Business Productivity domain supports western Canadian businesses, not for profit organizations and industry in initiatives to enhance productivity, competitiveness and the growth of western Canadian businesses.","Le programme de Croissance des entreprises comporte deux secteurs de soutien aux entreprises, … l'industrie et aux organismes de recherche de l'Ouest canadien en vue de favoriser leur productivit‚, leur participation aux march‚s mondiaux, et leur comp‚titivit‚. Les ‚changes, l'investissement et le domaine d'accŠs au march‚ favorisent la participation de l'Ouest canadien sur les march‚s mondiaux, ce qui contribue … faire connaŒtre les capacit‚s technologiques de l'Ouest canadien … l'‚tranger et … attirer les investissements ‚trangers dans la r‚gion. Le domaine de la productivit‚ des entreprises appuie les entreprises canadiennes de l'Ouest, les organismes sans but lucratif et l'industrie dans le cadre d'initiatives visant … accroŒtre la productivit‚, la comp‚titivit‚ et la croissance de celles-ci."
Western Economic Diversification Canada,140,BNW01,Innovation,"Introducing innovative new products, technologies or improvements to existing processes enhances business growth and competitiveness in the global marketplace. WD's Innovation programming makes strategic investments with western Canadian businesses, industry organizations and post-secondary institutions to enhance business innovation through research and development, and technology commercialization.","Ajouter de nouveaux produits d'innovation, de nouvelles technologies ou des am‚liorations aux processus existants encourage la croissance des entreprises et la comp‚titivit‚ sur le march‚ mondial. Les programmes d'innovation de DEO permettent de faire des investissements strat‚giques dans les entreprises, les organismes de l'industrie et les institutions postsecondaires de l'Ouest canadien afin d'am‚liorer l'innovation dans l'entreprise par l'entremise de la recherche et du d‚veloppement et de la commercialisation technologique."
Western Economic Diversification Canada,140,BNW03,Business Services,"The Business Services program consists of six Western Canada Business Service Network (WCBSN) members, which are independent organizations that receive financial support from WD to provide services to prospective and current entrepreneurs to help start, grow or expand small businesses across western Canada. This network offers its services to western Canadians in over 100 locations. WCBSN members include: Community Futures; Women's Enterprise Initiative; Indigenous Business Development Services; Francophone Economic Development Organizations; Entrepreneurs with Disabilities Program; and Canada Business Network.","Le programme de Services aux entreprises est constitu‚ de six membres du R‚seau de services aux entreprises de l'Ouest canadien (RSEOC), qui sont des organismes ind‚pendants et qui re‡oivent un soutien financier de DEO en vue d'assurer la prestation de services … des entrepreneurs ‚ventuels et actuels, contribuant ainsi au d‚marrage et … la croissance, ou … l'expansion d'une petite entreprise … l'‚chelle de l'Ouest canadien. Ce r‚seau offre ses services aux r‚sidents de l'Ouest canadien dans plus de 100 localit‚s. Les membres du RSEOC comprennent notamment : la Soci‚t‚ d'aide au d‚veloppement des collectivit‚s; l'Initiative pour les femmes entrepreneurs; les services de d‚veloppement pour les entreprises autochtones; les Organisations francophones … vocation ‚conomique; le Programme d'aide aux entrepreneurs ayant une incapacit‚; R‚seau Entreprises Canada."
Western Economic Diversification Canada,140,BNW04,Community Initiatives,"The Community Initiatives program provides targeted funding to support economic development activities in communities across Western Canada. Programming in this area is often through dedicated, temporary supplementary funding from the Government of Canada or through the department's own special allocations in response to the specific challenges that affect western Canadian communities. It also provides community funding in Western Canada to build and renew infrastructure in rural and urban municipalities across Canada, allowing them to compete in the regional, national and global economy.","Le programme d'initiatives communautaires fournit un financement cibl‚ en vue de soutenir des activit‚s de d‚veloppement ‚conomique dans les collectivit‚s de l'Ouest canadien. La prestation de programmes dans cette r‚gion est souvent assur‚e par l'affectation d'un financement suppl‚mentaire provisoire du gouvernement du Canada, ou au moyen d'affectations sp‚ciales provenant du ministŠre pour r‚pondre … des enjeux pr‚cis qui ont une incidence sur les collectivit‚s de l'Ouest canadien. Il assure ‚galement un financement aux collectivit‚s de l'Ouest canadien en vue de construire et renouveler les infrastructures dans les municipalit‚s rurales et urbaines … travers le pays, leur permettant ainsi de demeurer comp‚titives dans l'‚conomie r‚gionale, nationale et mondiale."
Employment and Social Development Canada,128,BGO14,Temporary Foreign Worker Program,"The Temporary Foreign Worker Program facilitates economic growth by providing employers with access to temporary foreign workers when Canadian citizens or permanent residents are not available, while ensuring that rights of foreign workers are protected. The Program is jointly administered by Employment and Social Development Canada (ESDC), Immigration, Refugees and Citizenship Canada (IRCC) and the Canada Border Services Agency (CBSA). Service Canada conducts Labour Market Impact Assessments for employers applying to hire temporary foreign workers to determine the effect these workers would have on the Canadian job market. This program assesses the impact by looking at labour market information for the region and the occupation, the employers? recruitment and advertisement efforts, wages and working conditions, labour shortages and the transfer of skills and knowledge to Canadians. Service Canada answers queries through Employer Contact Centres, the Internet and at in-person points of service. ESDC works with IRCC, CBSA and the provinces and territories to monitor and share information that has an impact on the integrity of the TFW Program and the IRCC-led International Mobility Program. These programs are legislated through the Immigration and Refugee Protection Act and Regulations. Service Canada conducts inspections for the TFW Program and, on behalf of IRCC for the International Mobility Program. In Quebec, the program is administered in partnership with the Province.","Le Programme des travailleurs ‚trangers temporaires (TET) stimule la croissance ‚conomique en permettant aux employeurs d?embaucher des travailleurs ‚trangers temporaires lorsqu?aucun citoyen canadien ni r‚sident permanent n?est disponible, tout en veillant … ce que les droits des travailleurs ‚trangers soient respect‚s. Le Programme est administr‚ conjointement par Emploi et D‚veloppement social Canada (EDSC), Immigration, R‚fugi‚s et Citoyennet‚ Canada (IRCC) et l?Agence des services frontaliers du Canada (ASFC). Service Canada effectue des valuations de l?impact sur le march‚ du travail pour les employeurs qui pr‚sentent une demande pour embaucher des travailleurs ‚trangers temporaires, afin de d‚terminer les r‚percussions que l?embauche de ces travailleurs aurait sur le march‚ du travail canadien. Le Programme ‚value l?impact en examinant l?information sur le march‚ du travail pour la r‚gion et la profession concern‚es, les efforts de recrutement et d?affichage de postes d‚ploy‚s par les employeurs, les salaires et les conditions de travail, les p‚nuries de main-d??uvre et le transfert de comp‚tences et de connaissances aux Canadiens. Service Canada r‚pond aux demandes de renseignements au moyen des Centres de services aux employeurs, d?Internet et de points de service en personne. EDSC travaille avec IRCC, l?ASFC et les provinces et territoires pour contr“ler et partager l?information ayant une incidence sur l?int‚grit‚ du Programme des TET et le Programme de mobilit‚ internationale que dirige IRCC. Ces programmes sont r‚glement‚s par la Loi et le RŠglement sur l?immigration et la protection des r‚fugi‚s. Service Canada effectue des inspections au titre de ces deux programmes, mais le fait au nom d?IRCC dans le cas du Programme de mobilit‚ internationale. Au Qu‚bec, le Programme des TET est administr‚ en partenariat avec la province."
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
