Department,Department Code,Transfer Payment Program,Start Date,End Date,Type,Type of Appropriation,Fiscal Year for terms and conditions,Description,Expected Results,Fiscal year of last completed evaluation,Decision Following the results of last evaluation,Fiscal year of planned completion of next evaluation,General target recipient groups,Initiative to engage applicants and recipients,
Atlantic Canada Opportunities Agency,12,Business Development Program,25/07/1995,Ongoing,Grant and Contribution,Voted appropriation annually through Estimates,2010-2011,"Through the Business Development Program (BDP), ACOA works to create opportunities for economic growth in Atlantic Canada by helping small and medium-sized enterprises (SMEs) become more competitive, innovative and productive. In addition, the Agency works with communities to develop and diversify local economies. It also champions the strengths of the region, in partnership with Atlantic Canadians.
The objectives of the BDP are to:

improve the growth and competitiveness of Atlantic Canadian SMEs;
provide for dynamic and sustainable communities in Atlantic Canada; and
provide for initiatives that strengthen Atlantic Canada?s economy.
In general, contributions to for-profit businesses are repayable, either conditionally or unconditionally. Under some of the BDP?s elements, non-repayable contributions to for-profit businesses may be permitted.

Contributions to non-profit organizations are generally non-repayable, but are conditionally repayable if a project results in what would normally be considered a commercial activity.
Budget 2018 introduced a new innovation program for ACOA: the Regional Economic Growth through Innovation Program (REGI Program). All new innovation-related projects that were historically funded through the BDP are now to be funded through the REGI Program, except to implement special initiatives as Cabinet direction, such as the Linguistic Duality Economic Development Initiative (EDI) and the Atlantic Trade and Investment Growth Agreement (ATIGA).","Improve growth and competitiveness of Atlantic Canadian SMEs through:

strengthened innovation and commercialization capacity in Atlantic Canada;
enhanced productivity and growth capacity of Atlantic Canadian SMEs;
expanded export activity by SMEs in Atlantic Canada; and
new foreign direct investment opportunities in Atlantic Canada.
Provide for dynamic and sustainable communities in Atlantic Canada with increased economic and business activity through:

improved community capacity, including that of official language minority communities, to respond to economic and business development opportunities and challenges; and
strengthened and expanded businesses.
Provide for policies and programs that strengthen Atlantic Canada?s economy. This is done through well-informed policy decisions reflecting opportunities and challenges of the Atlantic region?s economy, while considering enterprise and community development potential.","Evaluation of the Innovation and Commercialization Sub-program, 2014-15
Evaluation of the International Business Development Sub-program, 2015-16
Evaluation of the Productivity and Growth Sub-program, 2015-16
Evaluation of the Atlantic Canada Opportunities Agency?s tourism programming, 2016-17
Evaluation of the Atlantic Canada Opportunities Agency?s Communities and Inclusive Growth Programming, 2018-19",Continuation,"Evaluation of the Trade and Investment Programming, 2020-21
Evaluation of the Business Growth Programming, 2020-21
Evaluation of the Atlantic Canada Opportunities Agency?s Communities and Inclusive Growth Programming, 2018-19","industry-related groups (for example, for-profit businesses, specific industry sectors);
non-profit organizations (for example, universities and research institutions, health-related entities);
municipalities and local organizations (for example, economic development associations);
Crown corporations;
First Nations communities; and
other Indigenous recipients and organizations.","ACOA?s transfer payment programs (including the BDP) are designed, delivered and managed in such a way that they remain citizen and client-focused, are relevant to the applicants? and recipients? needs, and achieve the expected results for which they are designed. Engaging key stakeholders in discussions for the creation or review of ACOA?s programming is part of the Agency?s operations. To ensure the continued relevance of programming, the Agency solicits feedback from clients and stakeholders on an ongoing basis, either through information sharing or consultations and collaborations.

Additionally, BDP information is continuously shared with applicants and recipients through ACOA?s website and outreach events in communities across Atlantic Canada.",
Atlantic Canada Opportunities Agency,12,Community Futures Program,18/05/1995,Ongoing,Contribution,Voted appropriation annually through Estimates,2009-2010,"The program?s purpose is to help communities develop and implement local solutions to local problems. It provides non-repayable contributions to community futures organizations (CFOs), also known in Atlantic Canada as Community Business Development Corporations (CBDCs), and their associations. Community-based governance is at the heart of the Community Futures Program. The CBDCs are legally incorporated, non-profit, autonomous organizations managed by local volunteer board members who make decisions that shape these organizations, affect the lives of entrepreneurs and impact their communities. They provide financial and technical support to SMEs and social enterprises in rural areas. More information on services provided through the CBDCs can be found on ACOA?s website.","The ultimate outcomes under the program are:

economic stability, growth and job creation (measured by employment growth variance within CFO regions);
diversified and competitive local rural economies (measured through sales by average labour units); and
economically sustainable communities (measured by the survival rate variance of rural businesses).",2018-19,Continuation,2023-2024,"non-profit organizations (authorized by the minister responsible for the Community Futures Program to constitute a community for participation under the program); and
other groups, such as special-purpose entities or provincial, regional or national associations of CFOs.","The Agency will continue to engage with and align its support to the CBDC network as part of the Community Futures of Tomorrow model under a collaborative joint oversight committee. This will maximize all resources available, including the funds provided by the Community Futures Program. With a view to maintaining the long-term viability of the program, the committee acts as a governance body by ensuring that the model?s objectives are being managed collaboratively among individual CBDCs, the Atlantic Association of CBDCs, and ACOA. The Agency will continue to collaborate with the CBDC network and individual organizations to enhance their program-delivery capacity and governance practices, where required, and support the network in providing training to community development officers and board members to successfully achieve results.

ACOA will continue to work with the other regional development agencies and the CBDCs to strengthen the integrity, the consistency and the collection of performance results, and will continue to implement the program?s performance measurement strategy. In collaboration with other federal departments responsible for the management of the program, ACOA will present performance results for 2018-19, and will continue to engage the CBDCs in refining the collection and use of performance information needed by all stakeholders.",
Atlantic Canada Opportunities Agency,12,Regional Growth Through Innovation Program,18/10/2018,"REGI ? March 31, 2023; WEF ? March 31, 2020; WES Ecosystem Fund ? March 31, 2023",REGI ? Grant and Contribution; WES ? Contribution,Voted appropriation annually through Estimates,2018-19,"The Regional Economic Growth through Innovation (REGI) initiative builds on the objectives of the Innovation and Skills Plan. The goal of the REGI Program is to provide streamlined, nationally coordinated yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs), women entrepreneurs and other underrepresented groups, and assist the enhancement of regional industrial and technology clusters and regional innovation ecosystems.

The program provides assistance through two streams:

Business Scale-up and Productivity Stream (BSP): Invest in and support businesses at various stages of development, including high-growth firms, to accelerate their growth and assist them in scaling up, enhance their productivity and competitiveness in both domestic and global markets.
Regional Innovation Ecosystems Stream (RIE): Create, grow and nurture inclusive regional ecosystems that support business needs and foster an entrepreneurial environment conducive to innovation, growth and competitiveness.
The Women Entrepreneurship Strategy (WES) provides nationally coordinated, regionally tailored investments to help women entrepreneurs and support regional innovation ecosystems through two program streams:

WES Ecosystem Fund: A five-year program to help non-profit, third-party organizations deliver support for women entrepreneurs and address gaps in the ecosystem.
Pilot Contribution Program (Women Entrepreneurship Fund): A two-year program that invests directly in women-owned or women-led businesses to help them grow and reach new markets.
Contributions issued under the REGI Program may be unconditionally or conditionally repayable, or non-repayable. Contributions issued under WES are non-repayable only.","Businesses are adopting innovations and commercializing innovative products or services.
Regional innovation ecosystems are expanding the number of supported businesses.
WES: Women entrepreneurs start and grow their businesses.",Not Applicable ? new program,Not Applicable,2024-2025,"Incorporated for-profit companies;
not-for-profit organizations;
industry associations;
post-secondary institutions;
Indigenous organizations;
business accelerators and incubators;
women-led businesses;
angel networks;
social enterprises;
municipalities and all other municipal-type organizations; and
federal or provincial Crown corporations/organizations or any other entity created by a provincial government or a provincial department.","ACOA collaborates with its partners and engages key stakeholders in discussions regarding economic development and business growth to ensure that the Agency?s investments respond to the needs ofÿSMEs. Key partners and stakeholders may include other levels of government, community leaders, financial institutions and private-sector organizations. Furthermore, information on the REGI initiative as well as WES is shared with applicants and recipients through the Agency?s website.",
Canada Economic Development for Quebec Regions,141,Quebec Economic Development,01/04/2012,Ongoing,Grant and Contribution,Voted appropriation annually through Estimates,2017-18,The QEDP contributes to promoting the long-term economic development of the regions of Quebec by giving special attention to those where slow economic growth is prevalent or opportunities for productive employment are inadequate.,"
Business innovation and growth Program
Businesses are performing (result measured with the indicator % of supported businesses that have maintained or increased their revenues)

Community economic development and diversification
Communities innovate and develop their assets (result measured with the indicator Value of total investments generated in communities)

Targeted transition support
Communities are economically strengthened (result measured with the indicator Value of total investments generated in communities targeted by initiatives",2018-19,Not Applicable,2021-2022,"The main recipients under the QEDP are small and medium-sized enterprises, SME groups or associations, not-for-profit organizations, including those whose primary mission is to support businesses and foster economic development, as well as asset-operating organizations, organizations or institutions dedicated to the promotion and dissemination of knowledge, including universities and educational institutions, the Quebec government, and municipalities and municipal organizations.","CED keeps the public, SMEs and Quebec regional economic development stakeholders informed of its Quebec Economic Development Program (QEDP) through a wide range of communication tools and activities geared to the profile and information needs of those diverse audiences.",
Canada Economic Development for Quebec Regions,141,Community Futures Program,18/05/1995,Ongoing,Contribution,Voted appropriation annually through Estimates,2010-2011,"
This Canada-wide program provides support for communities in all parts of the country to help them take charge of their own local economic development. In Quebec, the CFP financially supports local and regional development agencies.",Communities are economically sustainable (result measured by the percentage points by which the growth in sales of CFP-assisted clients exceeds that of comparable unassisted firms).,2015-16,Continuation,2019-2020,"In Quebec, the CFP provides financial support for community development organizations, such as Community Futures Development Corporations (CFDCs) and Business Development Centers (BDCs).","
CED continues to inform community development organizations and community stakeholders of the support provided by the Government of Canada through the CFP.",
Canada Economic Development for Quebec Regions,141,Regional Growth Through Innovation Program,18/10/2019,Ongoing,Grant and Contribution,Voted appropriation annually through Estimates,2018-2019,"REGI is a national program that supports the economic growth of businesses and the regions through innovation. In Quebec, it is delivered by CED, and takes into account the needs of Quebec?s businesses and regions. The REGI program has two components:

Business scale-up and productivity: CED fosters business development by helping businesses scale up, become more productive and grow through innovation (adoption or adaptation of advanced technologies; demonstration; and commercialization and market development).
Regional innovation ecosystems: CED also helps create an entrepreneurial environment conducive to innovation by supporting the development of regional ecosystems that meet the needs of businesses and foster their growth and competitiveness.","The REGI program continues to target the two following departmental results:

Quebec businesses are innovative and growing
Businesses invest in the development and commercialization of innovative technologies in Quebec
A series of six indicators is used to measure CED?s progress in terms of the achievement of these results. The indicators are primarily based on economic statistics (e.g., value of Quebec?s goods? exports) and data from supported projects (e.g., revenue growth rate of businesses supported by CED programs). CED plans to present the most recent measurements of these indicators at the annual presentation of its Departmental Results Report.

Fluctuations in the indicators can be attributed to a number of factors, such as the economic environment. It is for this reason that CED expects variations in its results even though, in the long term, the Agency should demonstrate positive progress with respect to its results.",Not Applicable ? new program,Not Applicable,2023-2024,"The primary beneficiaries of the REGI program are:

businesses;
businesses associations;
business support organizations that provide services for businesses during the various stages of their development aimed at accelerating their growth, facilitating or enhancing their scale-up or developing their markets;
college centres for technology transfer (CCTTs);
non-profit organizations (NPOs) that provide services for businesses or have an impact on businesses;
business incubators and accelerators;
municipalities and RCMs (regional county municipalities);
groups or associations that may include NPOs, businesses, post-secondary institutions or consortia; and
Indigenous organizations.","CED keeps the public, SMEs and Quebec regional economic development stakeholders informed about the REGI program on an ongoing basis through a wide range of communication tools and activities geared to the profile and information needs of various audiences.",
Canada Institutes of Health Research,74,Research Projects and Personnel Support,2000-2001,Ongoing,Grant,Voted appropriation annually through Estimates,2011-2012,"TheÿCanadian Institutes of Health Researchÿ(CIHR) provides a wide array of funding programs under this transfer payment program. This includes grants that provide support for the direct costs of research projects, for the training of researchers, or for activities that support the translation of research findings. Other funding includes direct salary and stipend support to individual researchers/scientists and research trainees.","Health research advances knowledge;
A strong and talented health research community with the capacity to undertake health research;
Commercial activity-products patents and intellectual property, companies and employment generated; and
Translation and use of health research takes place as a result of effective funding programs, which can lead to benefits to Canadians","2011?12; CIHR 2011 International Review
2012?13; Evaluation of the Open Operating Grants Program
2012?13; Evaluation of CIHR Salary/Career Award Programs
2012?13; Evaluation of the National Anti-Drug Strategy
2013?14; Evaluation of the Federal Initiative to Address HIV/AIDS in Canada
2013?14; Evaluation of the Collaborative Health Research Projects Program
2013?14; Evaluation of the CIHR Clinical Trials Network in HIV/AIDS Program
2013?14; Evaluation of CIHR?s Knowledge Translation Funding Program
2013?14; Evaluation of the Regenerative Medicine & Nanomedicine Initiative
2014?15; Evaluation of the Drug Safety and Effectiveness Network (DSEN)
2014?15; Evaluation of the Banting Postdoctoral Fellowships Program
2014?15; Evaluation of the Pandemic Preparedness Strategic Research Initiative
2016?17; Evaluation of the Strategy for Patient Orientated Research (SPOR)
2016?17; Strategic Training Initiative in Health Research (STIHR) Evaluation
2016?17; Evaluation of the Canada Research Chairs Program
2016?17; Evaluation of the Institute of Neurosciences, Mental Health and Addiction
2016?17; Evaluation of the Institute of Musculoskeletal Health and Arthritis
2017?18; Horizontal Evaluation of Canadian Drugs and Substances Strategy (formerly known as National Anti-Drug Strategy)
2017?18; Evaluation of the Institute of Nutrition, Metabolism and Diabetes
2017?18; Evaluation of the Institute of Cancer Research
2018?19; Review of the Institute of Genetics (IG)
2018?19; Review of the Institute of Infection and Immunity (III)
2018?19; Review of the Institute of Health Services and Policy Research (IHSPR)
2018?19; Review of the Institute of Gender and Health (IGH)
2018?19; Evaluation of Gairdner",Continuation,"2018?19; Operating Support Evaluation (CIHR)
2018?19; Evaluation of CIHR Career and Training Support (CIHR)
2018?19; Horizontal Evaluation of the Federal Initiative to Address HIV/AIDS in Canada (PHAC)
2018?19; Evaluation of Viral Hepatitis and Sexually Transmitted Infections Activities (PHAC)
2018?19; Evaluation of Dementia Research Strategy (CIHR)
2018?19; Review of the Institute of Aging (CIHR)
2018?19; Evaluation of the Collaborative Health Research Projects (CHRP) Program
2019?20; Research Support Fund Evaluation (SSHRC)
2019?20; Review of the Institute of Circulatory and Respiratory Health (CIHR)
2019?20; Review of the Institute of Human Development, Child and Youth Health (CIHR)
2019?20; Evaluation of the Vanier Canada Graduate Scholarships Program (CIHR)  
2019?20; Evaluation of the Canadian Longitudinal Study on Aging (CIHR)
2021?22; Evaluation of the Canada Research Chairs (CRC) Program
2020?21; Evaluation of the Banting Postdoctoral Fellowships Program
2019?20; Review of the Institute of Population and Public Health (IPPH)
2019?20; Evaluation of the Drug Safety and Effectiveness Network (DSEN)
2019?20; Review of the Emerging Health Threats Research Fund
2020?21; Review of the Antimicrobial Resistance (AMR) Initiatives
2020?21; Review of the Institute of Indigenous Peoples' Health (IIPH)
2020?21; Review of the Institute of Neuroscience, Mental Health and Addiction (INMHA)
2020?21; Review of the Institute of Musculoskeletal Health and Arthritis (IMHA)
2021?22; Review of the Institute of Cancer Research (ICR)
2021?22; Review of the Institute of Nutrition, Metabolism and Diabetes (INMD)
2021?22; Evaluation of the Strategy for Patient Orientated Research (SPOR)
2022?23; Horizontal Evaluation of the Canadian Drugs and Substances Strategy
2020?21; Evaluation of the Environments and Health Initiative
2022?23; Evaluation of the Canadian Epigenetics, Environment and Health Research Consortium
2022?23; Evaluation of the Inflammation in Chronic Disease
2022?23; Evaluation of the Personalized Health, Personalized Medicine and e-Health Innovations Initiative",Persons (Researchers ? Students) ? Non-profit organizations (Colleges and/or universities),"CIHR engages applicants and recipients on an ongoing basis through various forms of social media, electronic newsletters, presentations, discussion forums and consultation processes.",
Canadian Heritage,122,Canada Book Fund,2010-2011,Ongoing,Grant and Contribution,Voted appropriation annually through Estimates,2015-2016,"
The Canada Book Fund supports the activities of Canadian book publishers and other sectors of the book industry to ensure access to a broad range of Canadian-authored books.

This support is delivered through the following streams of funding:

Support for Publishers, which provides funding distributed primarily through a formula that rewards success in delivering content that Canadians value. This funding contributes to the ongoing production and marketing of Canadian-authored books by offsetting the high costs of publishing in Canada and building the capacity and competitiveness of the sector.
Support for Organizations, which provides funding to develop the Canadian book industry and the market for its products by assisting industry associations and related organizations to undertake collective projects offering broad benefits to the industry and, ultimately, to readers everywhere.
This transfer payment program uses funding from the following transfer payments: Grants under the Canada Book Fund and Contributions under the Canada Book Fund.","Readers everywhere have access to a broad range of Canadian-authored books.
Number of new Canadian-authored titles published.
Readers everywhere consume a broad range of Canadian-authored books.
Domestic and export sales ($) of Canadian-authored books published by recipients",2014-2015,Continuation,2019-2020,"For-profit publishers
Not-for-profit publishers and organizations","When the program application guide for each funding stream component is released, the Department communicates with potential applicants and past recipients in the following ways:

Posting application information on the program website.
Emailing organizations identified as potential applicants notifying them that application documents are available and underlining key program changes.
Sending reminder emails shortly in advance of the funding application deadline.
The Department also engages with stakeholders throughout the year in the following ways:

Guiding applicants by phone and email (including toll-free phone number and program e-mail address available to program applicants and recipients);
Emailing the directorate newsletter at least once a year.
Holding annual stakeholder consultations and other meetings with potential applicants and recipients;
Attending industry events to improve the visibility and understanding of the program.",
Canadian Heritage,122,Canada Periodical Fund,2010-2011,Ongoing,Grant and Contribution,Voted appropriation annually through Estimates,2010-2011,"
The Canada Periodical Fund supports the activities of Canadian magazine and non-daily newspaper publishers and organizations to ensure that Canadians have access to diverse Canadian magazines and non-daily newspapers.

The Fund is delivered through the following components:

Aid to Publishers, which provides formula funding to Canadian print magazines and non-daily newspapers for publishing activities, such as distribution, content creation, online activities and business development
Business Innovation, which provides funding to print magazines and digital periodicals for business development and innovation projects
Collective Initiatives, which provides funding to Canadian magazine and non-daily newspaper organizations for industry-wide projects to increase the overall sustainability of the Canadian magazine and non-daily newspaper industries.
This transfer payment program uses funding from the following transfer payments: Grants under the Canada Periodical Fund and Contributions under the Canada Periodical Fund.","A range of Canadian periodicals supported by the Canada Periodical Fund is produced.
Number of funded titles published by Canada Periodical Fund recipients.
Canadian periodicals supported by the Canada Periodical Fund are accessed by Canadian readers.
Number of copies, in millions, of funded titles distributed to Canadians per year.",2015-2016,Continuation,2020-2021,"For-profit publishers
Not-for-profit publishers and organizations","When the program application guide for each funding stream is released, the Department communicates with potential and past recipients in the following ways:

Posting the application guide and application forms on the program website;
Emailing recent recipients and organizations identified as potential applicants, notifying them that application documents are available;
Sending reminder emails shortly in advance of the funding application deadline;
Engaging with industry organizations so that they publicize program information to their members.
The Department also engages with program stakeholders throughout the year in the following ways:

Guiding applicants by phone and email (including toll-free phone number and program e-mail address available to applicants and recipients);
Holding informal meetings with various stakeholders to explain how the CPF works and to listen to issues and concerns;
Attending various industry events to improve the visibility and understanding of the program;
Updating the CPF website with program information.",
Canadian Heritage,122,Canada Music Fund,2001-2002,Ongoing,Grant and Contribution,Voted appropriation annually through Estimates,2015-2016,"
The Canada Music Fund supports the activities of Canadian music, artists and entrepreneurs aimed at increasing the creation of and access to a diversity of Canadian music for audiences everywhere by enhancing the sector's ability to compete in domestic and international markets.

This support is delivered through the following components:

Music Entrepreneur, which provides funding to Canadian music entrepreneurs as well as for not-for-profit national service organizations in support of the creation, publishing, production, distribution or marketing of Canadian music, including touring related activities
New Musical Works, which provides funding to Canadian music artists and entrepreneurs for the creation, publishing, production, distribution or marketing of Canadian music, including touring related activities, music showcases and business development activities
Collective Initiatives, which provides funding to Canadian not-for-profit organizations as well as music entrepreneurs in support of a diverse range of collective activities aiming to enhance the visibility and accessibility of Canadian music; and
Canadian Music Memories, which provides funding for the preservation of Canada's musical heritage for future generations.
This transfer payment program uses funding from the following transfer payments: Grants and Contributions under the Canada Music Fund.","A range of Canadian music is published by Canada Music Fund recipients.
Number of sound recordings produced and released by Canada Music Fund recipients in a fiscal year.
Canadian music supported by the Canada Music Fund is accessed in Canada and abroad.
Market share of Canada Music Fund supported artists on domestic consumption charts (albums and / or streams).
International unit sales, in millions, of eligible sound recordings released by Canada Music Fund recipients.",2014-2015,Continuation,2019-2020,"Not-for-profit organizations
For-profit organizations
Other: individuals","When the program application guide for each funding stream is released, the Department communicates with potential and past recipients in the following ways:

Posting the application guide and application forms on the program website;
Emailing organizations identified as potential applicants notifying them that application documents are available;
Emailing professional associations for which members are targeted by the transfer payment program notifying them that application documents are available;
Emailing third party administrators of the New Musical Works component so that they can post on their websites that the application forms are available;
Sending reminder emails shortly in advance of the funding application deadline.
The Department also engages with program stakeholders throughout the year in the following ways:

Guiding applicants by phone and email (including toll-free phone number and program e-mail address available to applicants and recipients);
Attending industry conferences and holding meetings with industry representatives.",
Canadian Heritage,122,Canada Media Fund,2010-2011,Ongoing,Contribution,Voted appropriation annually through Estimates,2010-2011,"The Canada Media Fund is funded by the Government of Canada and the cable, satellite distributors and Internet Protocol Television (IPTV). It supports the creation of digital content across multiple platforms such as television, wireless devices or the Internet. The Canada Media Fund focuses investments on the creation of content Canadians want, and harnesses the opportunities provided by new technologies to deliver content to Canadians where and when they want it. Organizations supported by the Canada Media Fund include, but are not limited to, Canadian television and digital media production companies. Canadians as consumers of convergent programs and creators of leading-edge content and applications represent the ultimate target group. Indigenous communities, official language minority communities and other diverse language groups are also targeted by specific production funding envelopes. This transfer payment program uses funding from the following transfer payment: Contributions under the Canada Media Fund.","Innovative Canadian content and software applications are created for commercial potential or public use.
Minimum number of innovative Canadian content and software application projects supported by the Canada Media Fund.
Canadians watch or interact with Canada Media Fund-supported television programs or digital convergent content.
Number of hours viewed (in millions of hours annually) for Canada Media Fund-funded English-language television productions.
Number of hours viewed (in millions of hours annually) for Canada Media Fund-funded French-language television productions.",2015-2016,Continuation,2020-2021,Not-for-profit organizations (CMF corporation),"The Canada Media Fund corporation is required to conduct ongoing, formal, meaningful consultations.",
